"Cartão de Crédito (Mercado Pago)","Cartão de Crédito (Mercado Pago)"
"Pix (Mercado Pago)","Pix (Mercado Pago)"
"Boleto Bancário (Mercado Pago)","Boleto Bancário (Mercado Pago)"
"Token do cartão não recebido. Tente novamente.","Token do cartão não recebido. Tente novamente."
"Erro ao processar pagamento no Mercado Pago.","Erro ao processar pagamento no Mercado Pago."
"Erro ao gerar Pix no Mercado Pago.","Erro ao gerar Pix no Mercado Pago."
"Erro ao gerar boleto no Mercado Pago.","Erro ao gerar boleto no Mercado Pago."
"Preencha todos os dados obrigatórios para boleto.","Preencha todos os dados obrigatórios para boleto."
"Pagamento não aprovado. Status: %s","Pagamento não aprovado. Status: %s"
"Após confirmar o pedido, você receberá o QR Code e o código Pix para pagamento.","Após confirmar o pedido, você receberá o QR Code e o código Pix para pagamento."
"Preencha seus dados para emissão do boleto.","Preencha seus dados para emissão do boleto."
"Tipo de documento","Tipo de documento"
"Número do documento","Número do documento"
"CEP","CEP"
"Rua","Rua"
"Número","Número"
"Bairro","Bairro"
"Cidade","Cidade"
"Estado (UF)","Estado (UF)"
"QR Code Pix","QR Code Pix"
"Pix Copia e Cola","Pix Copia e Cola"
"Abrir página de pagamento Pix","Abrir página de pagamento Pix"
"Visualizar / Imprimir Boleto","Visualizar / Imprimir Boleto"
"Linha Digitável","Linha Digitável"
"Order MP","Order MP"
"Status","Status"
"Parcelas","Parcelas"
"Link Pix","Link Pix"
"Link Boleto","Link Boleto"
"Erro de comunicação com o Mercado Pago.","Erro de comunicação com o Mercado Pago."
